0    [main] WARN  com.commsen.stopwatch.Stopwatch  - Properties file stopwatch-engine.properties not found on classpath! Properties not set!
6340 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 51 (winner)
247097 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 54 (winner)
247097 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 78 [Tank: blue] [Team: 0] [Points: 54] [Status: winner] [Kills: 7] [Deaths: 4] [Missiles Fired: 51] [Energy Used:340]
247097 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 16 (loser)
247097 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 78 [Tank: purple] [Team: 1] [Points: 16] [Status: loser] [Kills: 4] [Deaths: 2] [Missiles Fired: 18] [Energy Used:0]
247097 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -22 (loser)
247097 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 78 [Tank: yellow] [Team: 0] [Points: -22] [Status: loser] [Kills: 2] [Deaths: 8] [Missiles Fired: 8] [Energy Used:180]
247097 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 31 (loser)
247097 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 78 [Tank: green] [Team: 1] [Points: 31] [Status: loser] [Kills: 4] [Deaths: 3] [Missiles Fired: 27] [Energy Used:160]
254199 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
254199 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 77 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 6] [Deaths: 0] [Missiles Fired: 21] [Energy Used:120]
254199 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 4 (loser)
254200 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 77 [Tank: purple] [Team: 1] [Points: 4] [Status: loser] [Kills: 0] [Deaths: 1] [Missiles Fired: 14] [Energy Used:140]
254200 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -20 (loser)
254200 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 77 [Tank: yellow] [Team: 0] [Points: -20] [Status: loser] [Kills: 0] [Deaths: 5] [Missiles Fired: 2] [Energy Used:100]
254200 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 7 (loser)
254200 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 77 [Tank: green] [Team: 1] [Points: 7] [Status: loser] [Kills: 2] [Deaths: 2] [Missiles Fired: 8] [Energy Used:0]
264247 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 53 (winner)
264248 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 76 [Tank: blue] [Team: 0] [Points: 53] [Status: winner] [Kills: 7] [Deaths: 1] [Missiles Fired: 49] [Energy Used:460]
264248 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: -7 (loser)
264248 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 76 [Tank: purple] [Team: 1] [Points: -7] [Status: loser] [Kills: 1] [Deaths: 3] [Missiles Fired: 1] [Energy Used:200]
264248 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -19 (loser)
264248 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 76 [Tank: yellow] [Team: 0] [Points: -19] [Status: loser] [Kills: 0] [Deaths: 4] [Missiles Fired: 0] [Energy Used:60]
264248 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 12 (loser)
264248 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 76 [Tank: green] [Team: 1] [Points: 12] [Status: loser] [Kills: 3] [Deaths: 3] [Missiles Fired: 25] [Energy Used:120]
275502 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
275502 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 75 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 7] [Deaths: 3] [Missiles Fired: 49] [Energy Used:260]
275502 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 10 (loser)
275502 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 75 [Tank: purple] [Team: 1] [Points: 10] [Status: loser] [Kills: 2] [Deaths: 3] [Missiles Fired: 15] [Energy Used:340]
275503 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -24 (loser)
275503 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 75 [Tank: yellow] [Team: 0] [Points: -24] [Status: loser] [Kills: 0] [Deaths: 5] [Missiles Fired: 0] [Energy Used:120]
275503 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 24 (loser)
275503 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 75 [Tank: green] [Team: 1] [Points: 24] [Status: loser] [Kills: 5] [Deaths: 3] [Missiles Fired: 25] [Energy Used:80]
294611 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
294612 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 74 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 8] [Deaths: 6] [Missiles Fired: 64] [Energy Used:460]
294612 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 38 (loser)
294612 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 74 [Tank: purple] [Team: 1] [Points: 38] [Status: loser] [Kills: 5] [Deaths: 2] [Missiles Fired: 27] [Energy Used:240]
294612 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -25 (loser)
294613 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 74 [Tank: yellow] [Team: 0] [Points: -25] [Status: loser] [Kills: 1] [Deaths: 6] [Missiles Fired: 2] [Energy Used:340]
294613 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 12 (loser)
294613 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 74 [Tank: green] [Team: 1] [Points: 12] [Status: loser] [Kills: 2] [Deaths: 2] [Missiles Fired: 18] [Energy Used:240]
304652 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
304652 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 73 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 6] [Deaths: 1] [Missiles Fired: 44] [Energy Used:80]
304652 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 13 (loser)
304652 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 73 [Tank: purple] [Team: 1] [Points: 13] [Status: loser] [Kills: 1] [Deaths: 0] [Missiles Fired: 6] [Energy Used:0]
304652 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -22 (loser)
304653 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 73 [Tank: yellow] [Team: 0] [Points: -22] [Status: loser] [Kills: 0] [Deaths: 4] [Missiles Fired: 0] [Energy Used:0]
304653 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: -7 (loser)
304653 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 73 [Tank: green] [Team: 1] [Points: -7] [Status: loser] [Kills: 1] [Deaths: 3] [Missiles Fired: 8] [Energy Used:220]
314218 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
314218 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 72 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 6] [Deaths: 1] [Missiles Fired: 49] [Energy Used:280]
314218 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 28 (loser)
314218 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 72 [Tank: purple] [Team: 1] [Points: 28] [Status: loser] [Kills: 3] [Deaths: 1] [Missiles Fired: 23] [Energy Used:400]
314219 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -27 (loser)
314219 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 72 [Tank: yellow] [Team: 0] [Points: -27] [Status: loser] [Kills: 0] [Deaths: 6] [Missiles Fired: 2] [Energy Used:40]
314219 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 8 (loser)
314219 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 72 [Tank: green] [Team: 1] [Points: 8] [Status: loser] [Kills: 1] [Deaths: 2] [Missiles Fired: 14] [Energy Used:260]
327989 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 51 (winner)
327989 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 71 [Tank: blue] [Team: 0] [Points: 51] [Status: winner] [Kills: 9] [Deaths: 4] [Missiles Fired: 40] [Energy Used:0]
327989 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 15 (loser)
327989 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 71 [Tank: purple] [Team: 1] [Points: 15] [Status: loser] [Kills: 3] [Deaths: 2] [Missiles Fired: 9] [Energy Used:20]
327989 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -35 (loser)
327989 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 71 [Tank: yellow] [Team: 0] [Points: -35] [Status: loser] [Kills: 1] [Deaths: 8] [Missiles Fired: 0] [Energy Used:160]
327990 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 19 (loser)
327990 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 71 [Tank: green] [Team: 1] [Points: 19] [Status: loser] [Kills: 3] [Deaths: 2] [Missiles Fired: 18] [Energy Used:140]
345901 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 51 (winner)
345901 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 70 [Tank: blue] [Team: 0] [Points: 51] [Status: winner] [Kills: 4] [Deaths: 2] [Missiles Fired: 52] [Energy Used:580]
345901 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 41 (loser)
345901 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 70 [Tank: purple] [Team: 1] [Points: 41] [Status: loser] [Kills: 6] [Deaths: 3] [Missiles Fired: 31] [Energy Used:100]
345901 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -24 (loser)
345901 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 70 [Tank: yellow] [Team: 0] [Points: -24] [Status: loser] [Kills: 1] [Deaths: 6] [Missiles Fired: 3] [Energy Used:140]
345901 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 12 (loser)
345902 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 70 [Tank: green] [Team: 1] [Points: 12] [Status: loser] [Kills: 2] [Deaths: 2] [Missiles Fired: 29] [Energy Used:440]
362958 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
362958 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 69 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 5] [Deaths: 3] [Missiles Fired: 55] [Energy Used:680]
362958 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 9 (loser)
362959 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 69 [Tank: purple] [Team: 1] [Points: 9] [Status: loser] [Kills: 3] [Deaths: 4] [Missiles Fired: 40] [Energy Used:440]
362959 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -12 (loser)
362959 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 69 [Tank: yellow] [Team: 0] [Points: -12] [Status: loser] [Kills: 0] [Deaths: 3] [Missiles Fired: 2] [Energy Used:140]
362959 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 6 (loser)
362959 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 69 [Tank: green] [Team: 1] [Points: 6] [Status: loser] [Kills: 2] [Deaths: 0] [Missiles Fired: 16] [Energy Used:60]
370578 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 51 (winner)
370578 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 68 [Tank: blue] [Team: 0] [Points: 51] [Status: winner] [Kills: 6] [Deaths: 0] [Missiles Fired: 26] [Energy Used:40]
370578 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: -7 (loser)
370578 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 68 [Tank: purple] [Team: 1] [Points: -7] [Status: loser] [Kills: 0] [Deaths: 2] [Missiles Fired: 1] [Energy Used:40]
370578 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -15 (loser)
370579 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 68 [Tank: yellow] [Team: 0] [Points: -15] [Status: loser] [Kills: 0] [Deaths: 3] [Missiles Fired: 0] [Energy Used:0]
370579 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: -5 (loser)
370579 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 68 [Tank: green] [Team: 1] [Points: -5] [Status: loser] [Kills: 0] [Deaths: 1] [Missiles Fired: 2] [Energy Used:0]
377899 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
377899 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 67 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 7] [Deaths: 2] [Missiles Fired: 32] [Energy Used:220]
377899 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 14 (loser)
377899 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 67 [Tank: purple] [Team: 1] [Points: 14] [Status: loser] [Kills: 3] [Deaths: 4] [Missiles Fired: 24] [Energy Used:260]
377900 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -26 (loser)
377900 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 67 [Tank: yellow] [Team: 0] [Points: -26] [Status: loser] [Kills: 1] [Deaths: 6] [Missiles Fired: 2] [Energy Used:100]
377900 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 23 (loser)
377900 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 67 [Tank: green] [Team: 1] [Points: 23] [Status: loser] [Kills: 3] [Deaths: 1] [Missiles Fired: 15] [Energy Used:20]
390161 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 51 (winner)
390162 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 66 [Tank: blue] [Team: 0] [Points: 51] [Status: winner] [Kills: 7] [Deaths: 4] [Missiles Fired: 58] [Energy Used:520]
390162 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 20 (loser)
390162 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 66 [Tank: purple] [Team: 1] [Points: 20] [Status: loser] [Kills: 4] [Deaths: 3] [Missiles Fired: 21] [Energy Used:240]
390162 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -15 (loser)
390162 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 66 [Tank: yellow] [Team: 0] [Points: -15] [Status: loser] [Kills: 1] [Deaths: 4] [Missiles Fired: 0] [Energy Used:20]
390162 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 10 (loser)
390162 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 66 [Tank: green] [Team: 1] [Points: 10] [Status: loser] [Kills: 2] [Deaths: 3] [Missiles Fired: 21] [Energy Used:160]
397709 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 53 (winner)
397709 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 65 [Tank: blue] [Team: 0] [Points: 53] [Status: winner] [Kills: 7] [Deaths: 1] [Missiles Fired: 36] [Energy Used:240]
397709 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: -1 (loser)
397709 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 65 [Tank: purple] [Team: 1] [Points: -1] [Status: loser] [Kills: 1] [Deaths: 2] [Missiles Fired: 7] [Energy Used:0]
397709 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -17 (loser)
397709 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 65 [Tank: yellow] [Team: 0] [Points: -17] [Status: loser] [Kills: 0] [Deaths: 4] [Missiles Fired: 4] [Energy Used:100]
397709 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 14 (loser)
397709 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 65 [Tank: green] [Team: 1] [Points: 14] [Status: loser] [Kills: 2] [Deaths: 3] [Missiles Fired: 16] [Energy Used:20]
405738 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
405738 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 64 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 4] [Deaths: 0] [Missiles Fired: 29] [Energy Used:140]
405738 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 33 (loser)
405738 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 64 [Tank: purple] [Team: 1] [Points: 33] [Status: loser] [Kills: 3] [Deaths: 0] [Missiles Fired: 24] [Energy Used:120]
405738 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -31 (loser)
405738 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 64 [Tank: yellow] [Team: 0] [Points: -31] [Status: loser] [Kills: 0] [Deaths: 6] [Missiles Fired: 2] [Energy Used:140]
405738 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: -2 (loser)
405738 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 64 [Tank: green] [Team: 1] [Points: -2] [Status: loser] [Kills: 0] [Deaths: 1] [Missiles Fired: 4] [Energy Used:100]
424931 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 52 (winner)
424931 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 63 [Tank: blue] [Team: 0] [Points: 52] [Status: winner] [Kills: 7] [Deaths: 2] [Missiles Fired: 63] [Energy Used:480]
424931 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 35 (loser)
424931 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 63 [Tank: purple] [Team: 1] [Points: 35] [Status: loser] [Kills: 6] [Deaths: 4] [Missiles Fired: 30] [Energy Used:360]
424931 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -36 (loser)
424931 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 63 [Tank: yellow] [Team: 0] [Points: -36] [Status: loser] [Kills: 1] [Deaths: 9] [Missiles Fired: 7] [Energy Used:800]
424931 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 26 (loser)
424931 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 63 [Tank: green] [Team: 1] [Points: 26] [Status: loser] [Kills: 2] [Deaths: 1] [Missiles Fired: 25] [Energy Used:940]
433958 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 54 (winner)
433958 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 62 [Tank: blue] [Team: 0] [Points: 54] [Status: winner] [Kills: 7] [Deaths: 2] [Missiles Fired: 37] [Energy Used:240]
433958 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 1 (loser)
433958 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 62 [Tank: purple] [Team: 1] [Points: 1] [Status: loser] [Kills: 2] [Deaths: 3] [Missiles Fired: 10] [Energy Used:80]
433958 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -26 (loser)
433958 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 62 [Tank: yellow] [Team: 0] [Points: -26] [Status: loser] [Kills: 0] [Deaths: 5] [Missiles Fired: 1] [Energy Used:40]
433958 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 16 (loser)
433958 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 62 [Tank: green] [Team: 1] [Points: 16] [Status: loser] [Kills: 1] [Deaths: 0] [Missiles Fired: 11] [Energy Used:0]
448940 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 31 (loser)
448940 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 61 [Tank: blue] [Team: 0] [Points: 31] [Status: loser] [Kills: 5] [Deaths: 4] [Missiles Fired: 54] [Energy Used:640]
448940 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 51 (winner)
448940 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 61 [Tank: purple] [Team: 1] [Points: 51] [Status: winner] [Kills: 5] [Deaths: 1] [Missiles Fired: 39] [Energy Used:280]
448940 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -27 (loser)
448940 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 61 [Tank: yellow] [Team: 0] [Points: -27] [Status: loser] [Kills: 2] [Deaths: 7] [Missiles Fired: 3] [Energy Used:200]
448940 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 38 (loser)
448940 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 61 [Tank: green] [Team: 1] [Points: 38] [Status: loser] [Kills: 5] [Deaths: 4] [Missiles Fired: 30] [Energy Used:440]
464323 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
464323 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 60 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 7] [Deaths: 3] [Missiles Fired: 36] [Energy Used:260]
464323 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 32 (loser)
464323 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 60 [Tank: purple] [Team: 1] [Points: 32] [Status: loser] [Kills: 3] [Deaths: 0] [Missiles Fired: 25] [Energy Used:140]
464323 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -34 (loser)
464323 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 60 [Tank: yellow] [Team: 0] [Points: -34] [Status: loser] [Kills: 1] [Deaths: 8] [Missiles Fired: 2] [Energy Used:120]
464323 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 21 (loser)
464323 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 60 [Tank: green] [Team: 1] [Points: 21] [Status: loser] [Kills: 3] [Deaths: 3] [Missiles Fired: 30] [Energy Used:160]
471913 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 51 (winner)
471913 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 59 [Tank: blue] [Team: 0] [Points: 51] [Status: winner] [Kills: 5] [Deaths: 0] [Missiles Fired: 37] [Energy Used:120]
471913 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: -7 (loser)
471914 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 59 [Tank: purple] [Team: 1] [Points: -7] [Status: loser] [Kills: 0] [Deaths: 1] [Missiles Fired: 7] [Energy Used:240]
471914 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -16 (loser)
471914 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 59 [Tank: yellow] [Team: 0] [Points: -16] [Status: loser] [Kills: 0] [Deaths: 3] [Missiles Fired: 0] [Energy Used:60]
471914 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: -5 (loser)
471914 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 59 [Tank: green] [Team: 1] [Points: -5] [Status: loser] [Kills: 0] [Deaths: 1] [Missiles Fired: 2] [Energy Used:40]
481817 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
481817 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 58 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 6] [Deaths: 2] [Missiles Fired: 46] [Energy Used:280]
481817 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 12 (loser)
481817 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 58 [Tank: purple] [Team: 1] [Points: 12] [Status: loser] [Kills: 3] [Deaths: 2] [Missiles Fired: 7] [Energy Used:580]
481817 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -18 (loser)
481817 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 58 [Tank: yellow] [Team: 0] [Points: -18] [Status: loser] [Kills: 0] [Deaths: 5] [Missiles Fired: 3] [Energy Used:0]
481817 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 16 (loser)
481817 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 58 [Tank: green] [Team: 1] [Points: 16] [Status: loser] [Kills: 4] [Deaths: 4] [Missiles Fired: 19] [Energy Used:240]
507166 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 51 (winner)
507166 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 57 [Tank: blue] [Team: 0] [Points: 51] [Status: winner] [Kills: 6] [Deaths: 3] [Missiles Fired: 49] [Energy Used:120]
507166 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 20 (loser)
507166 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 57 [Tank: purple] [Team: 1] [Points: 20] [Status: loser] [Kills: 6] [Deaths: 4] [Missiles Fired: 23] [Energy Used:160]
507166 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -28 (loser)
507166 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 57 [Tank: yellow] [Team: 0] [Points: -28] [Status: loser] [Kills: 1] [Deaths: 7] [Missiles Fired: 5] [Energy Used:100]
507166 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 30 (loser)
507166 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 57 [Tank: green] [Team: 1] [Points: 30] [Status: loser] [Kills: 3] [Deaths: 2] [Missiles Fired: 18] [Energy Used:40]
519202 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 51 (winner)
